LMS_Login_Frequency_Per_Week,Assignment_Delay_Days,Attendance_Rate_Percentage,Study_Consistency_Index,Feedback_Sentiment_Score,CAT_Marks_Trend,Late_Night_Activity_Ratio,Burnout_Risk_Level
6.0,1,91.43,0.99,-0.38,13.69,0.41,Low
5.0,1,86.94,0.73,0.75,11.6,0.85,Low
6.0,2,64.6,0.95,0.56,-9.92,0.16,Medium
8.0,3,87.79,0.83,-0.97,-0.8,0.02,Low
5.0,3,77.66,0.9,0.63,14.14,0.78,Low
5.0,0,97.8,0.81,-0.4,-3.83,0.07,Low
8.0,1,65.66,0.46,-0.7,-3.85,0.99,Medium
7.0,1,85.71,0.25,-0.55,-9.15,0.67,Medium
4.0,4,75.28,0.37,-0.06,-11.57,0.75,Low
6.0,1,98.27,0.02,-0.15,7.21,0.25,Low
4.0,4,73.2,0.52,-0.42,8.1,0.67,Low
4.0,0,98.49,0.51,-0.66,14.07,0.04,Low
5.0,3,96.06,0.53,0.52,8.2,0.84,Low
1.0,1,70.82,0.97,0.98,-7.7,0.17,Medium
2.0,2,92.14,0.91,0.56,-13.8,0.7,Low
4.0,4,99.82,0.16,-0.41,14.56,0.22,Low
3.0,2,70.11,0.37,-0.51,-4.79,0.07,Low
6.0,1,77.47,0.42,-0.56,-5.64,0.48,Medium
3.0,1,80.81,0.36,-0.73,12.18,0.17,Low
2.0,2,71.8,0.8,0.1,2.55,0.73,Low
8.0,1,60.61,0.52,0.21,-8.55,0.24,Medium
5.0,2,68.81,0.57,0.41,11.67,0.34,Low
5.0,1,71.28,0.85,0.36,14.8,0.57,Low
2.0,2,77.74,0.81,-0.42,-12.4,0.28,Medium
4.0,0,66.84,0.13,-0.34,10.87,0.38,Medium
5.0,1,94.93,0.71,0.36,-3.28,0.82,Low
3.0,4,88.2,0.44,-0.3,0.72,0.18,Low
6.0,3,63.41,0.29,-0.57,12.44,0.08,Medium
4.0,2,86.0,0.05,-0.25,14.2,0.33,Low
4.0,2,86.15,0.49,-0.46,-7.14,0.42,Medium
4.0,1,98.25,0.36,-0.82,-8.61,0.54,Medium
9.0,5,60.12,0.25,0.66,-12.58,0.37,High
5.0,0,69.92,0.69,0.71,1.85,0.79,Low
3.0,2,97.11,0.77,-0.56,-14.59,0.04,Medium
7.0,3,97.29,0.24,-0.87,-2.64,0.43,Low
3.0,1,88.82,0.05,0.48,-12.8,0.38,Low
5.0,2,90.63,0.85,-0.58,-2.84,0.65,Low
1.0,4,63.66,0.01,-0.21,-13.8,0.97,High
2.0,3,80.56,0.94,-0.87,10.06,0.51,Low
5.0,2,69.26,0.63,-0.55,-8.71,0.99,High
6.0,1,67.25,0.32,0.59,-5.15,0.3,Medium
5.0,3,92.41,0.25,0.61,11.1,0.03,Low
5.0,2,65.4,0.01,-0.59,7.39,0.17,Medium
4.0,1,78.75,0.24,-0.33,-8.43,0.4,Medium
2.0,0,97.54,0.14,-0.73,-12.84,0.32,Medium
4.0,0,67.43,0.61,-0.85,6.47,0.1,Medium
4.0,2,99.12,0.17,0.98,-3.28,0.43,Low
7.0,0,99.77,0.53,0.31,7.98,0.34,Low
6.0,1,82.22,0.59,0.08,-1.64,0.12,Low
1.0,0,66.81,0.3,0.53,-4.62,0.3,Medium
6.0,0,72.64,0.04,0.68,-1.46,0.89,Low
4.0,2,76.98,0.04,0.61,7.46,0.3,Low
4.0,2,72.37,0.03,-0.97,12.07,0.71,Low
6.0,4,71.23,0.74,-0.63,-13.51,0.61,Medium
7.0,4,98.89,0.32,0.31,0.72,0.43,Low
7.0,0,66.13,0.8,-0.25,-14.01,0.24,Medium
3.0,2,89.33,0.43,0.96,-0.95,0.37,Low
4.0,1,60.02,0.45,0.33,11.56,0.59,Low
6.0,2,83.85,0.51,0.91,-4.15,0.35,Low
7.0,1,96.64,0.71,-0.6,12.97,0.21,Low
4.0,0,71.52,0.27,0.73,3.92,0.12,Low
5.0,4,67.42,0.12,-0.36,13.02,0.88,Medium
3.0,4,86.07,0.56,0.98,7.71,0.44,Low
3.0,1,88.5,0.33,-0.68,-11.9,0.63,Medium
7.0,1,87.52,0.44,0.03,-8.07,0.49,Low
8.0,3,72.77,0.65,0.59,-3.17,0.87,Low
5.0,6,70.09,0.49,-0.13,-9.9,0.55,Medium
7.0,1,98.24,0.62,-0.06,-0.15,0.48,Low
6.0,1,96.93,0.54,0.97,-0.86,0.92,Low
4.0,3,78.29,0.74,-0.15,13.69,0.72,Low
6.0,3,93.85,0.71,0.21,-1.99,0.11,Low
8.0,1,78.09,0.53,-0.89,8.57,0.18,Low
